Offense.Code,Offense.Category,Offense.Description,Offense.Level
62036,2118(B),IMP/ETC MAMMAL W/O PERMIT,M
26212,2118.5,FAIL TO COLLECT/PAY TAX,F
26273,2121,AID/ETC PREP/ETC FAKE DOC,F
31297,2152(B),ENGAGE ACTVTY W/O LICENSE,F
35245,2241,FURNISH DRUGS TO ADDICT,M
35313,2242.1(A),PRESC DANG DRUG:INTERNET,M
26377,2255(B),ALT/ETC CORP BK/ETC:DEFRD,F
44054,2261,IMPERSONATE CHP OFFICER,I
62180,2300(A),UNLAWFUL POSSESS CAULERPA,M
62026,2353(A),UNDCLRD W/LIFE IMPORT/ETC,M
54118,2416(C),VIOL EMERGE VEH PERMT REG,M
54621,2470,TRANSPORT KITCHEN GREASE,M
54622,2474,STEAL/ETC KITCHEN GREASE,M
54680,2476,POSS OF INEDIBLE KTCH GRS,I
62042,2536(A),ACT/ETC:FG GUIDE W/O LIC,M
31285,2556,UNLAW SRVS/OPTOMTRY TRTMT,M
66117,2620,PROCEEDINGS:PRISONER PROD,X
66118,2621,PRISONER:MATERIAL WITNESS,X
56012,2652,MISTREATMENT OF PRISONERS,M
56041,2652.5,CHAIN/RESTRNT PRISNR NECK,M
26141,2762(E),FALSIFY DRUG RECORD,M
48020,2772,INTRFR WORK/DISCP:PRISNER,M
48075,2772,INTRF/FRNSH DRUG/ETC:PRIS,F
48021,2790,INTRFR W/WRK/DISCPLIN:CON,M
48076,2790,INTRFR/FRNSH DRUG/ETC:CON,F
55183,2795(A),PRACTICE NURSING W/O LIC,M
55165,2795(B),USE NURS TITLE/ETC:NO LIC,M
55084,2796,PROFESSIONAL PRACTICE VIO,M
48104,2800,FAIL OBEY PO:INSPECTN ORD,M
48135,2800(A),FAIL OBEY PO:LAWFUL ORDER,M
48102,2800.1(A),EVADING PEACE OFFICER,M
48144,2800.1(B),INTENT EVADE PO BICYCLE,M
48083,2800.2,EVADING PO:DISREGARD SFTY,F
48101,2800.2(A),EVADE PO:DISREGARD SAFETY,F
48128,2800.2(A),DISREGARD SAFETY:EVADE PO,M
48081,2800.3,EVADE PO:CAUSE SBI/DEATH,F
48139,2800.4,EVADE PO:WRONG WAY DRIVER,F
48140,2800.4,EVADE PO:WRONG WAY DRIVER,M
48105,2801,FAIL OBEY FIRE DEPT PERSN,M
54119,2803(A),VIOL LOAD/PERMIT REGS,M
31174,2812,ILL SEL/ETC PRISN MFG ITM,M
54120,2813,FAIL STOP:COMRCL VEH INSP,M
54381,2815,FAIL OBEY SCH XING GUARD,I
54329,2818,CROSS FLARE/CONE PATTERN,I
54569,2818,ELE BEACON/CONE PATTERN,I
35238,2878.5(A),DOCTOR USE CNTL SUB,M
44042,2885,IMPERSONATE L.V.N.,M
36287,288A(C)(2)(A),ORAL COP:USE FORCE/INJURY,F
36291,288A(J),ORL COP:VIC KNOWS PERSON,F
55080,2903,PRACTICE PSYCHOLGY:NO LIC,M
55081,2913,PSYCHOLOGICAL ASSIST VIOL,M
26544,2945.4(A),FORECLOSURE FRAUD,F
26616,2945.4(A),FORECLOSURE FRAUD,M
31201,2945.4(G),FORCLOSER INDUCE CONTRACT,F
31202,2945.4(G),FORECLOSE:INDUCE CONTRACT,M
62100,3000,HUNTING:BIRD/ETC AT NIGHT,M
50181,3000.08,VIOLATION OF PAROLE,X
50182,3000.08,FLASH INCARCERATION,X
62182,3001,HUNTING WHILE INTOXICATED,M
49041,3002,ESC:NARCOTIC COMMITMENT,F
62038,3002,SHOOT BIRD/MAMAL:VEH/ETC,M
36293,3003.6,SEX OFN WRK CHLD FACILITY,M
36327,3003.6(A)(2),SEX OFR WORK W/JUV WARD,M
62011,3004,DISCHRG DEAD WPN/HNT BLDG,M
62068,3005.5,CAPTURE/ETC SPEC WILDLIFE,M
62034,3007,TAKE BIRD/ETC W/O LICENSE,M
9050,3009,KILL/INJ PERSON W/HUNTING,F
36292,3010.10(A),SEX REG REMOV GPS MONITOR,M
62046,3039(A),HUNT:SALE/ETC CA BIRD/ETC,M
31208,3040,PRACTICE OPTOMETRY:NO REG,M
50075,3056,VIOLATION OF PAROLE:FEL,F
50139,3060,SUSPEND/REVOKE PAROLE,X
26567,3070(B),OBT POSS VEH/ETC:FRAUD/ET,M
50138,3081,PAROLE VIOLATION/REARREST,X
62158,3087(A)(1),TAXIDERMIST:FAIL KEEP REC,M
26550,3126,FALSE DATA:OPTOMETRY CERT,M
31140,3215,OFR/ETC REF:CLIENT REFERL,F
26278,3352,BANK EMP/ETC OMIT ENTRIES,F
27052,3361,MISAPPLY BANK ASSETS,F
50178,3454,PRCS:FLASH INCARCERATION,X
50176,3455,PRCS VIOLATION,X
62103,3503.5,BIRD-PREY/EGG/ETC:POS/ETC,M
62044,3504,SELL/ETC DOMEST GAME BIRD,M
62096,3511,PROTECTD BIRD/ETC NO PERM,M
62202,3513(A),POSS MIGRATORY NONGM BIRD,M
27055,3531,MISAPP/ETC OF CORP ASSETS,F
31237,3550(A),EMPLR FAIL POST NTC INSUR,M
4044,36 1.5(F),FED REG:VIOLATE A CLOSURE,M
4018,36 2.1(A)(6),FR:POSS/ETC:ARCH RESOURCE,M
62154,36 2.10(B)(10),FR:CAMP O/SIDE DES AREA,M
62162,36 2.10(B)(2),FR:LV EQUIP/REFUSE SITE,M
62163,36 2.10(B)(8),FED REG:FAIL OBT CMP PERM,M
4071,36 2.12(A)(1),FR:UNREASONABLE NOISE,M
62155,36 2.13(A)(1),FR:FIRE UNDESIGNATED AREA,M
4034,36 2.14(A)(1),FR:IMPROP DISPOSL/REFUSE,M
4035,36 2.14(A)(8),FR:IMPROP DISPL/HUMAN WST,M
4058,36 2.17(A)(3),FR:DEL/RETRIEVE BY AIR,M
62170,36 2.2(A)(3),FED REG:POSSESS WILDLIFE,M
4052,36 2.22(A)(3),FR:FAIL TURN IN FND PROP,M
4061,36 2.23(B),FR:NON PAYMENT OF FEES,M
27065,36 2.30,FR:NONPAYMENT FOR SERVICE,M
27056,36 2.30(A)(1),FEDERAL REGULATION:THEFT,M
4020,36 2.30(A)(3),FR:OBT PROP/ETC BY FRAUD,M
23164,36 2.30(A)(4),FED REG:THEFT:SHOPLIFTING,M
4021,36 2.30(A)(5),FR:POSS KNOW STOLEN PROP,M
4022,36 2.31(A)(1),FR:TRESP:ENTER/ETC PROP,M
4045,36 2.31(A)(2),FR:TAMPER WITH PROPERTY,M
4031,36 2.31(A)(3),FR:VANDLSM DESTROY PROP,M
66082,36 2.32(A)(1),FR:MEDDLE/ETC:GOV AGT/ETC,M
4023,36 2.32(A)(2),FR:VIOLATE LAWFUL ORDER,M
4024,36 2.32(A)(3)(I),FR:FALSE INFO/AUTH PERSON,M
53111,36 2.34(A)(1),FR:DIS CONDUCT:FIGHT/ETC,M
53141,36 2.34(A)(2),FR:DIS CONDUCT:OBSCN LANG,M
53140,36 2.34(A)(4),FR:CREATE HAZARDOUS COND,M
41066,36 2.35(A)(2)(II),FR:POSS ALCOHOL UNDER 21,M
4047,36 2.35(A)(3)(III),FR:VIOLATION OF A CLOSURE,M
35391,36 2.35(B)(2),FR:POSS CNTL SUBS:PARKS,M
35301,36 2.35(C),FR:UI ALC/CNTL SUB:PARK,M
4038,36 2.4(A)(1)(I),FR:POSS WPN/TRAP/NET,M
4041,36 2.4(A)(1)(III),FR:USE WPN/TRAP/NET,M
4019,36 2.4(F),FR:POSS/ETC WPN/TRAP/ETC,M
4036,36 2.61(A),FR:RESIDING ON FED LAND,M
4025,36 3.6(B),FR:OPR VESSEL:UND INF D/A,M
4068,36 4.10(A),FR:OPR VEH PROHIBITD AREA,M
4032,36 4.12,FR:TRAFFIC CNTL DEVCE VIO,M
4033,36 4.14(B),FR:O/CONTAINER ALC IN MV,M
54576,36 4.15(A),FR:FAIL WEAR SEAT BEAT,M
4042,36 4.21(C),FR:OPR VEH EXCESS SPEED,M
4049,36 4.22(B)(1),FR:DRIVE WITHOUT DUE CARE,M
4037,36 4.22(B)(3),FR:UNSAFE CNTL MOTOR VEH,M
4053,36 4.22(B)(4)(2),FR:PASSENGER IN BED TRUCK,M
4026,36 4.23(A)(1),FR:OPR VEHICLE UNDER INF,M
4027,36 4.23(A)(2),FR:DUI:BLOOD/ETC ALC.08,M
4028,36 4.23(C)(2),FR:DUI:REFUSE TEST,M
4043,36 4.30(D)(2),FR:OPR BIKE W/OUT LIGHT,M
4051,36 4.30(D)(4),FR:OPR BIKE UND INF ALC,M
54596,36 4.4(B),FR:TOW/MOVE VEH:FAIL REPT,M
4029,36 5.14,FR:UNLAWFUL PROSPECTING,M
4072,36 5.6(B),FR:COMMERC VEH PROHIBITED,M
66083,36 7.16(C),FR:ILUSE POWERLESS FLIGHT,M
62193,3682(A),TAK UPLAND BIRD W/O STAMP,M
62150,3700(A),NO STATE DUCK STAMP,M
31059,3700.5,FAIL SECURE COMP PAYMENT,M
31061,3710.2,FAIL OBSERVE STOP ORDER,M
62115,3800,TK NONGAME BIRD:W/EXCPTNS,M
62063,3801,TAKE/POS NONGAME BIRD:HRS,M
62031,3801.6,POSS SKIN OF NONGAME BIRD,M
54099,4000(A),NO REG:VEH/TRAILER/ETC,I
54657,4000(A)(1),NO REG:VEH/TRAILER/ETC,I
54359,4000.1,REG/ETC:SMOG CERTS VIOL,I
54412,4000.2,O-O-S VEH:NO REG/SMOG CRT,I
54473,4000.4(A),UNREG CA BASED VEHICLE,I
54666,4000.6,UNREG COMM MTR VEH 10000+,I
62200,4001,TRAP FUR MAMMAL REC/COMRC,M
62201,4004,UNLAWFUL TRAPPING,M
54172,4004(A),FOREIGN COM VEH:NO PERMIT,I
49009,4011.7,ESCAPE:HOSPITAL PRISONER,M
49058,4011.7,PRSNR ESC HOSP W/VIOL/ETC,F
50095,4024.2(C),WORK RELEASE PROGRAM VIOL,M
56042,4030(M),BOD CAVITY/ETC SEARCH VIO,M
57036,4030(N),BOD CAVITY/ETC SEARCH VIO,M
57058,4031,MINOR;BODY CVTY SRCH VIOL,M
56043,4031(F),MNR BODY CAVITY SRCH VIOL,M
35355,4051,UNREG MFG/ETC PRESC/ETC,M
35361,4059(A),GIV DANG DRUG/ETC:NO PRSC,M
35363,4060,POS CNTL SUB:W/O PRESCRIP,M
35396,4060,POSS CONTL SUB:W/O PRESCP,F
35362,4063,UNAUTH RFIL DANG DRUG/ETC,M
35416,4077(A),RX W/O LABEL ON CONTAINER,M
31238,4110(A),UNLICENSED PHARMACY,M
13056,4131.5,BATTERY NONINMATE BY INMT,F
50179,4139,DELVR PROHIB ITEM:PATIENT,M
35358,4140,POS/ETC HYPO NEEDL/SYRNGE,M
35356,4141,UNLIC SELL/ETC NEEDL/ETC,M
35357,4142,SEL HYPO/SYRINGE NO PRESC,M
55282,4148,CONFISCT NDL/SYR O/S PREM,M
35379,4149,UNLIC NONRES DIST NDL/ETC,M
62199,4150(B),TRAP FUR NONGM MAMMAL REC,M
54206,4152.5,FAIL REG FOREIGN VEH:CA,I
54207,4159,FAIL NOTIFY DMV:ADD CHG,I
54323,4160,FAIL CHANGE ADD ON REG,I
35381,4163,FURN DANGERUS DRUG/DEVICE,M
53071,4301,SCALPING,M
62037,4304,WASTE GAME MAMMAL FLESH,M
66229,4321(A),KNWGLY VIOL PHARMACY PROV,M
26398,4322,FALSE REP REG PHARMACY,M
35369,4323,FALSE REP:DR/ETC:OBT DRUG,M
35366,4324(A),FORGE/ETC PRESCRIPTION,F
35389,4324(A),FORGE/ETC PRESCRIPTIONS,M
35368,4324(B),GET DRUG BY FORGED PRESC,F
35388,4324(B),GET DRUG BY FORGED PRESC,M
35367,4325(A),UNAUTH PRESCRIPTION BLANK,M
35359,4326(A),OBT HYPO NDL/SRYNGE:FRAUD,M
35360,4326(B),MISUSE HYPO NEEDL/SYRINGE,M
31209,4327,SELL/ETC DRUGS:UNDER INFL,M
26399,4329,MAN/ETC PHARM/ETC NO REG,M
62059,4330,TAKE DEER W/O LICENSE,M
35407,4330(A),OWNER:NON-PHARM DISP PRSC,M
31183,4331(A),UNAUTH GIVE DANG DEV/ETC,M
35364,4332,DANG DRUG/ETC RECORD VIOL,M
62048,4336,POSSESS UNTAGGED DEER,M
35365,4336(A),DANG DRUG:USE MNR:AGENT,F
62107,4341,DEER TAG NOT COUNTERSIGND,M
20058,4421,BURN LAND OF ANOTHER,M
20037,4422(B),ALLOW FIRE:ESCAPE/SPREAD,M
55233,4423,BURN W/O PERMIT,M
20062,4435,NEG:MAINT/OPR:CAUSE FIRE,M
54208,4454(A),NO REGISTRATION IN VEH,I
54227,4457,LOST/ETC DMV REG/ETC VIOL,I
26545,4461(A),IMPROP USE/ETC REG:UNAUTH,M
26510,4461(B),LOAN DISABL PLACRD:UNAUTH,M
26511,4461(C),DISPLY UNAUTH DISABL PLAC,M
26634,4461(D),USE VEH DISABL PLATE:PRKG,M
54148,4462(A),FAIL PROVIDE VEH REG:PO,I
25063,4462(B),SHO ON VEH/GIV PO FLS DOC,I
54419,4462(C),UNLAWF POSS VEH REG/ETC,M
25065,4462.5,SHO ON VEH/GIV PO FLS REG,M
25053,4463(A)(1),FORGE/ALTER VEH REG/ETC,F
25098,4463(A)(1),FORGE/ALTER VEH REG/ETC,M
25056,4463(A)(2),UTER/ETC FAKE VEH REG/ETC,F
25099,4463(A)(2),UTER/ETC FAKE VEH REG/ETC,M
25079,4463(B)(1),FORGE/ETC DISABLD PLACARD,M
26512,4463(B)(2),PASS/ETC FAKE DISABL PLAC,M
26513,4463(B)(3),FRAUD:POS/ETC DISABL PLAC,M
26514,4463(C),SHO/ETC DISABL PLAC:FRAUD,M
25106,4463(E)(1),FORGE/ETC CLEAN AIR STKER,I
25107,4463(E)(2),PASS FALSE CLEAN AIR STKR,I
25108,4463(E)(3),POS/ETC FLSE CLN AIR STKR,I
25109,4463(E)(4),POS GENUINE CLN AIR STKR,I
25080,4463.5(A),MFG/ETC FAK/ETC LIC PLATE,M
54338,4464,DISPLAY ALTERED LIC PLATE,I
13036,4500,ASSAULT BY LIFE PRISONER,F
62087,4500,TAKE MARINE MAMMAL VIOL,M
13037,4501,ADW BY PRISONER,F
13229,4501(B),ASSLT W/FRC GBI BY PRISNR,F
13190,4501.1(A),AGG BAT:GASSING BY PRISNR,F
13230,4501.1(A),BATTERY BY GASSING ON PO,M
13038,4501.5,BATTERY BY PRISONER,F
52231,4502(A),PRISONER POSSESS WEAPON,F
52283,4502(B),PRISONER MFG WEAPON/ETC,F
10009,4503,CONFINED PRSN HOLD HOSTGE,F
49011,4530(A),PRISONER ESCAPE W/FORCE,F
49012,4530(B),PRISONER ESCAPE W/O FORCE,F
49023,4530(C),FAIL TO RETRN TO CONFNMNT,F
49051,4530(C),FAIL RET CNFMNT:TEMP RELS,F
49083,4532(A)(1),ESC JAIL/ETC:CHRG/ETC:MIS,F
49098,4532(A)(1),ESC JAIL/ETC:MIS W/O FRCE,M
49084,4532(A)(2),ESC:CHG/ETC:MISD:FRC/VIOL,F
49085,4532(B)(1),ESC JAIL/ETC:CHRG/ETC:FEL,F
49089,4532(B)(1),ESCAPE:FELONY CHG PENDING,M
49086,4532(B)(2),ESC:CHG/ETC:FEL:FORCE/VI0,F
49101,4532(B)(2),ESCAPE/ATT FELON FRC/VIOL,M
49102,4532(C),INMATE 1170.05 ESCAPE,M
49092,4532(D),ESC:FAIL RET JAIL:WRK/ETC,M
49093,4532(D),ESC:NOT RET JAIL:WORK/ETC,F
49017,4533,GUARD AID ESCAPE,F
49018,4534,ANY PERSON AID ESCAPE,F
49019,4535,FURNISH ESCAPE EQUIPMENT,F
49057,4536(A),MDSO ESCAPE:MEN HLTH FAC,F
49103,4536(A),MDSO ESCAPE:MNTL HLTH FAC,M
49104,4550(B),RESCUE/ATT NONCAP PRISONR,M
49029,4550.1,AID RESCUE OF PRISONER,F
49030,4550.2,AID RESCUE OF PRISONER,F
48022,4570,UNAUTH COMMUN W/PRISONER,M
48047,4570.1,UNAUTH COMUN WITH PRISNER,M
44019,4570.5,FALSE ID ENTER JAIL,M
32044,4571,FELON ON PRISON GROUNDS,F
58023,4573,BRING CNTL SUB/ETC JAIL,F
58024,4573.5,BRING ALC/DRUGS IN PRISON,F
35286,4573.6,POSS CNTL SUB IN PRISON,F
35287,4573.8,POSS DRUGS/ETC IN PRISON,F
35288,4573.9,SELL CNTL SUB:PRSN CUSTDY,F
52143,4574(A),BRING WEAPON INTO PRISON,F
52156,4574(B),SEND WEAPON INTO PRISON,F
52157,4574(C),SEND WEAPON INTO PRISON,M
50161,4575(A),BRING CELL PH INTO JAIL,M
50162,4575(B),INMATE POSSESS TOBACCO,I
50163,4575(D),INMATE POSSES HANDCUF KEY,M
50180,4576(A),DELIVER CELLPHONE:INMATE,M
50191,4577(A),OP UNMANNED AIR PRISON,I
29131,4600(A),DAMAGE JAIL/PRISON/ETC,M
29132,4600(A),DAMAGE JAIL/PRISON/ETC,F
62045,4657(A),FAIL TO TAG/ETC WILD PIG,M
62133,4750,TAKE BEAR W/O LICENSE,M
62104,4753,BEAR:TAGS/POSS VIOL,M
62057,4758(A),SELL/ETC BEAR MEAT/ETC,M
62075,4800,INJURE/POS/ETC MOUNTNLION,M
31214,4825,VET MED W/O VALID LICENSE,I
31215,4825,VET MED W/O VALID LICENSE,M
31303,4841.2(A),PERF ANIMAL H/CARE WO LIC,M
31206,4935,ACUPUNCTURE W/O LICENSE,M
62165,5000,TAKE/SELL/POSSES TORTOISE,M
66231,5008.1,SMOKE ON STATE BEACH/PARK,I
54474,5011(A),IDENT PLATE DISPLAY VIOL,I
54540,5017(A),IDENTIFICATION PLATE VIOL,I
31115,5050,PRACT PUB ACCT W/O PERMIT,M
23130,5097.99(B),POSS/ETC NAT AMER ART/ETC,F
54644,5200(A),DISPLAY LIC PLATES WRONG,I
54645,5200(B),DISPLY ONE LIC PLATE WRNG,I
54209,5201,LICENS PLATE POSITION VIO,I
54234,5201(A),LICENS PLATE POSITION VIO,I
54688,5201(B),TEMP LIC PLATE NOT RPLCED,I
54723,5201(D),OBSTRUCT OF LIC PLATE,I
54541,5201(E),LIC PLATE:LVSTCK TRLR VIO,I
54211,5202,LICENSE PLATE DISPLAY VIO,I
54168,5204(A),EXPIRED TABS/FAIL DISPLAY,I
31156,5371,OPR CHRTR CARIER W/O PRMT,M
31282,5379,OPR CARRIER W/SUSP PERMIT,M
31157,5385,FAIL DISPL CLASS ID:CHRTR,M
54638,5385.7,OPERAT LIMO W/O XTRA EXIT,M
31268,5411,CHRTR-PRTY CARIER EMP VIO,M
55095,5411,DISCHARGE WASTE ILLEGALLY,M
31269,5411.3,CHRTR-PRTY CRR:NO DSP SYM,M
31270,5412,NON CHRTR-PRTY CARIER VIO,M
62143,5515(A)(1),TAKE FULLY PROTECTED FISH,M
62142,5521,TAKE ABALONE:MORATORIUM,M
62089,5521.5,ABALONE:RESTRICT:COMMERCL,M
31225,5536(A),PRACT ARCHITECT W/O LIC,M
31226,5536(B),USE STAMP IMPLY LIC ARCHT,M
31227,5536(C),FALSE ADV REG BLDG DESGNR,M
55141,5650(A),POLUT WATER:PETROLEUM/ETC,M
62175,5650(A)(4),DEP REFUSE/LIME/SLAG IN W,M
62194,5650(A)(6),DEPT HAZ MAT TO WILDLIFE,M
55093,5652,PUT POLLUTANT NEAR WATERS,M
54391,5753,OWN FAIL GIV/ETC CERT/REG,I
54392,5753,DLR FAIL GIV/ETC CERT/REG,M
54483,5900(A),FAIL NOTE DMV:VEH SEL/ETC,I
62176,5901,IMPEDING FISH PASSAGE,M
54401,5901(A),DLR/ETC FAIL NOTE TRANSF,M
54016,5902(A),FAIL NOTE DMV:OWN TRANSFR,I
31076,6071,BUSINESS W/O SALES PERMIT,M
31158,6125,PRACTICE LAW W/O LICENSE,M
31143,6126(A),UNAUTH ADV/PRACTICE LAW,M
31106,6126(B),AD/PRACTCE LAW:SUSPENSION,F
31233,6128(A),ATTORNEY WIT DECEIVE CRT,M
31234,6128(B),ATTNY WILFULY DELAY SUIT,M
31235,6128(C),WILFUL REC UNANSWER MONEY,M
31265,6152(A)(1),SOLICIT BUSN FOR ATTNY,M
31266,6152(A)(2),SOLICIT PERSON TO BE RUNR,M
26143,6200,CRT OFCR ALT/ETC REC/ETC,F
26130,6201,DESTROY PUBLIC RECORD,F
26282,6203,MAKE/ETC FALSE CERT/ETC,M
66108,6253,WORK FURLOW HOLD/ETC:CDC,X
57042,6254.21(B),POST AP OFCL HOME ADD:GBH,M
57043,6254.21(B),POST AP OFCL HOME ADD:GBI,M
57044,6254.21(B),POST AP OFCL HOME ADD:GBI,F
31239,6401.6,UNLAWFUL PROV LEGAL SERVS,M
31283,6402,REG REQ:DISBAR/SUSP LAWYR,M
55243,6404.5(B),VENT:WRKPLACE:SMOKING VIO,I
31240,6410(A),FAIL TO PROVIDE CONTRACT,M
31241,6415,LEGAL DOC ASST/UDA VIOL,M
55242,6423(A),SERIOUS VIOL:STANDARD/ORD,M
31151,6425,VIO:CAUS EMP DETH/IMPRMNT,M
61031,6452(A),UNFILED QUARTERLY TAX RET,M
61024,6454,FAIL TO FILE TAX RETURN,M
61040,6455(C),FAIL FURNISH REQRD RETURN,M
46040,653F(D)(1),SOLICIT HS ACTS W/PR,M
46042,653F(F)(1),SOLICIT COMPUTER CRIME,M
46043,653F(F)(2),OFFER SOLICIT COMPTR CRM,M
36266,6600,SEXUALLY VIOLENT PREDATOR,X
57047,6603.3(A)(1),DISCLS VIC ID INFO:ATTNY,M
57048,6603.5,DISCL VIC ID INFO:DCR EMP,M
61022,6701,FAIL PLACE SECURITY TAX,M
26289,6787(B),FILE FALSE CERT OF REG,M
26290,6787(H),FLSE USE:ENG/ETC TITL/ETC,M
66228,6829.4(B)(1),LESSEE FL COMPLY DEADLINE,M
26308,7027.1(A),ADV AS CONTRACTOR W/O LIC,M
26250,7027.3,FRAUD:USE CONTRCTOR LIC #,F
31130,7028(A),CONTRACTING W/O LICENSE,M
31298,7028(A)(1),CONTRACTING W/O LICENSE,M
31299,7028(A)(2),CONTRACTING W/SUSPND LIC,M
31257,7028.16,UNL CONTRCTR:DUR ST EMERG,F
31258,7028.16,UNL CONTRCTR:DUR ST EMERG,M
31249,7028.17(A),UNLIC CONTRCTR F/COMPLY,M
55127,7051,REMOVE HUMAN REMAIN:UNLAW,F
55042,7052,MUTILATE/ETC GRAVE REMAIN,F
55143,7054(A),DEP/ETC HUM RMAIN NOT CEM,M
55043,7055,UNAUTH REMAINS REMOVAL,M
55266,7103(A),FAL PRFORM INTERMNT DUTIE,M
62181,7120,POSS UNLAWFUL DAILY LIMIT,M
62041,7121,SALE/ETC SPORT FISH/ETC,M
31304,7126(B),UNLIC CONTR VIOL WRK COMP,M
62064,7145,FAIL POS/ETC LIC:FISH/ETC,I
26363,7152(A),VRFY/ETC FALS/ETC TAX RET,M
31176,7153(A),HOME IMPROV SELLER NO REG,M
61027,7153.5,EVADE/ETC SALES/USE TAX,F
31056,7159,CONTRCTR VIO HM IMPR CONT,M
31113,7159(D),CONTRCTR REQ EXCESS $DOWN,M
31284,7161(B),MISREPRSNT $ HOME IMPROVE,M
31100,7317,COSMETOLOGY/ETC W/O LIC,M
49045,7326,AID ESCAPE FROM ST HOSP,F
62195,7370(A),POSSESS/SALE/ETC STURGEON,M
31217,7502,REPOSSESS W/O VALID LIC,M
31153,7506.9(D),REPO WORK W/O VALID REG,M
31051,7520,ENGAGE BUSINESS:W/O LIC,M
26291,7523(A),FALSE USE PI/ETC LICENSE,M
31181,7539(H),PI CONDCT BUSINES W/O LIC,M
53133,7583.12(A),GUARD FAIL POS F/ARM CARD,M
31218,7583.3(A),FAIL CRRY ON DUTY:VAL REG,M
62065,7850(A),OPR W/O COMRCIAL FISH LIC,M
62066,7852(C),FISH W/O COM LIC:NONRES,M
62080,7852.27,COMERCL FISHER W/O CDL/ID,M
62093,7857(D),FAIL POS COM FISH LIC/ETC,M
62070,7860(A),TAKE SALMON W/O COM STAMP,M
62069,7881(B),VIO:SHOW/ETC COM BOAT REG,M
62076,7923,FISH REC VIO:COMM/PASENGR,M
62129,8043(A),FAIL COMPLT LANDING RECT,M
62062,8047(C)(1),COMM FISHER TRNSP LIC VIO,M
62083,8050,NO LANDNG REC:COMRCL FISH,M
52265,8101(A),SELL/ETC D/WPN:MNTL PERSN,F
52243,8101(B),SELL/ETC F/ARM:MENTL PRSN,F
52275,8103(A)(1),POS/ETC F/ARM/DW:MDO PRHB,F
52218,8103(F)(1),WPN RESTRICTION:MNTL PRSN,F
52767,8103(F)(1)(B),WPN RESTRICTION:MNTL PRSN,F
52768,8103(F)(1)(B),WPN RESTRICTION:MNTL PRSN,M
52654,8103(I),F/A ETC RSTRCTN:MNTL -5YR,M
52655,8103(I),F/A ETC RSTRCTN:MNTL -5YR,F
26619,8214.2(A),NOTARY ACT:W/INT DEFRAUD,F
62058,8218,INJ/ETC SPEC SMALL SALMON,M
26583,8227.1(A),FRAUD:REP AS A NOTARY PUB,M
26584,8227.1(B),FRAUDULNT ADV AS A NOTARY,M
26585,8227.1(C),PURPORT AS NOTARY PUBLIC,M
26586,8227.3,NON-DULY NOTARY:MORTGAGE,F
62196,8252,SPINY LOBSTER -3.25 INCH,M
62043,8278,TAK/ETC -SIZE DUNGNS CRAB,M
62088,8394,TAKE SWORDFISH W/O PERMIT,M
62148,8399.1(A)(2),DIST 10:SQUID VIOLATION,M
31159,8550(A),PRAC PEST CONTROL W/O LIC,M
62050,8603,USE/ETC NET/ETC:TAKE FISH,M
62134,8623(A),UNLAW USE OF PURSE SEINE,M
62171,8625(A),ILLEGAL SIZE NET USED,M
65001,8634,EMERG CURFEW VIOLATION,M
66073,8665,STATE OF EMERGENCY VIOL,M
66215,8670.64(A)(3),KNWLY CAUSE OIL SPILL WTR,F
66216,8670.64(C)(2)(D),KNWLY FAIL CONTGNCY PLAN,F
62032,8685.5,TAKE SALMON/ETC:GILL NETS,M
62033,8685.6,SELL FISH TAKEN BY GILNET,M
26591,8726,VIOL ENDOWMENT CARE PROVI,M
54512,8803,DLR SURRENDER LICENSE,M
54081,8804,REG/ETC VEH FOREN JURSDTN,M
39053,8880.52,SELL/ETC LOTRY TKS TO MNR,M
62135,9002(A),TAMPER W/MARKED TRAPS,M
62094,9027.5(A)(3),FISHING LINE BUOY VIOL,M
62099,9029,FISH/LINE VIOL:SPEC DIST,M
53125,9051,CRIME AGAINST LEGISLATURE,M
26635,9149.33(A),LEG USE AUTH TO INTERFERE,M
26636,9149.34,RETAL AGNST LEGIS EMP,M
54667,9400,COMMERC VEH WGHT FEES DUE,I
54619,9400.1(F),FAIL TO DISPLAY WGT DECAL,I
54334,9406,FAIL TO REP WT ALTER/ETC,I
54393,9850,OPR UNDOC VES W/O NUMBERS,I
54394,9853.2,UNDOC VES FAIL DISPL #,I
54444,9866,IMPROPER #:UNDOC VESSEL,I
31138,9884.6(A),AUTO REPAIR DLR LIC VIOL,M
31038,9884.8,INVOICE FRAUD,M
31160,9884.9(A),EST/ETC VIOL:AUTO REPAIR,M
66230,9889.2,VIOL AUTO REPAIR ACT,M
31286,10085.5,ADV FEE/SECURE LOAN,M
31116,10139,ACT/ETC RELATR/ETC:NO LIC,M
31273,10153.1,ID FRAUD:EXAMINATION/APPL,M
31195,10167.11(A),FALSE ADV/ETC:RENTAL LIST,M
31196,10167.11(B),REFER FALSE/ETC RENTALS,M
31194,10167.2,RENTAL BUSINES:NO LICENSE,M
31035,10238.6(C),VIOL/ETC REAL ESTATE REGS,F
31185,10250.52,SEL SUBDIVISION NO PERMIT,F
52309,10500(B),USE/POS PROHIB WPN:REFUGE,M
62060,10500(C),CATCH/ETC FISH/ETC:REFUGE,M
62067,10500(F),POS/ETC MARINE LIFE:RFUGE,M
48095,10501(A),FALSE RPT VEH THEFT,M
