CDS Code,Offense Description,Offense Level
55159,PUB/ETC PHON DIR W/O WARN,M
29122,REM FOREST PROD W/O PERMT,M
29004,CUT SHRUBS W/O PERMIT,M
29162,SELL/TRANSPORT CUT PLANT,M
31067,FALSE TRANSPORT STATEMENT,M
31068,MOVE SHRUB W/O PERMIT,M
31103,FAIL TO SHOW SHRUB TAG,M
29006,KILL/HURT ANTHR ANML:HUNT,M
55032,TOOLS NEAR HIGH VOLT LINE,M
55161,USE/ETC EQUP:NO SIGN:VOLT,M
55213,INOP/ETC FIRE PROTECT SYS,F
55303,INOP FIRE PROTECT SYS GBI,F
31180,UNSAFE BUS PRAC:GBH/DEATH,F
31311,UNSAFE BUS PRAC GBH/DTH,M
26015,MARKET PRICE FRAUD,M
31177,PRICE GOUG:GOODS/ETC:EMER,M
31178,PRICE GOUG:RPAIR/ETC:EMER,M
31312,PRICE GOUGE MTL RNT EMERG,M
31307,INCRS RENT 10+PERC EMRGNC,M
31308,EVICT TENANT DUR EMERGNCY,M
26113,UNLAWFUL USE FOOD STAMPS,M
41013,LIQUOR TO DRUNKARD,M
32060,TRESPASS: OFF LIMIT AREA,M
9029,OWNERS ANIMAL CAUSE DEATH,F
9187,OWNER/ETC:ANML CAUSE DTH,F
9188,OWNER/ETC:ANML CAUSE DTH,M
9175,DOG FIGHT-TRAIND CAUS INJ,M
9185,DOG TRAINED:FIGHT/ETC:INJ,F
55034,AIDING SUICIDE,F
55162,STOP/ETC:EMERGENCY SCENE,M
55287,STOP/ETC:EMERGENCY SCENE,M
55288,INTRF EMERG W/DRONE/ETC,M
55163,INTRF/ETC W/LIFGARD:EMERG,M
55036,ADULTERATION OF CANDY,M
55037,DISCARD APPLIANCE W/LOCK,M
55038,SELL NEW REFRIG W/O LOCK,M
53015,DISTURB/ETC ASSEMBLY/ETC,M
53101,RIOTING,M
53115,CAUSE RIOT:DESTROY PROP,M
53136,RIOT IN JAIL/PRISON/ETC,M
53137,RIOT IN PRISON/JAIL/ETC,F
53018,RIOTS,M
53019,LYNCHING,F
53145,RIOT TAKE FROM PEACE OFF,F
53020,LYNCHING,F
53021,ROUTING,M
53022,UNLAWFUL ASSEMBLY,M
53023,ROUT/UNLAWFUL ASSEMBLY,M
53024,REMAIN AT SCENE:RIOT/ETC,M
31301,SEIZE PER PROP TERM LEASE,M
53025,ENTER DISASTER AREA,M
53150,UNAUTH ENTRY EVAC AVALNCH,M
53026,NEGLECT/REFUSE TO DISPERS,M
53027,ILLEGAL PRIZE FIGHTING,M
53028,PRESENT AT ILLEGAL FIGHT,M
53030,LEAVE STATE TO PRIZEFIGHT,M
53072,FIGHT IN PUBLIC PLACE,M
53131,FIGHT/ETC IN PUBLIC PLACE,I
53073,UNREASONABLE NOISE,M
53130,LOUD/UNREASONABLE NOISE,I
53074,OFFENSIVE WORDS:PUBLIC PL,M
53151,OFFENSIVE WORDS IN PUB PL,I
33028,FIGHT/ETC AT SCH/UNIV/ETC,M
33029,LOUD/UNREAS NOISE UNV/ETC,M
33030,OFFENSIVE WORDS UNIV/ETC,M
53108,REFUSE TO DISPERSE,M
52136,EXHIBIT DEADWPN:NOT F/ARM,M
52137,EXHIBIT FIREARM,M
52687,EXHBT F/ARM THRTNG MANNER,M
52199,EXH LOADED F/ARM:DAY CARE,F
52326,EXH LOADED F/ARM:DAY CARE,M
52200,EXHIBIT FIREARM PRES PO,F
52303,EXHIB/ETC F/ARM:PO PRESNT,M
52267,THREAT W/LASER SCOPE:FEAR,M
48130,AIM/ETC LASER POINTERS:PO,M
48158,AIM LASER PNTR PO W/PR,M
31212,SELL LASER POINTER TO JUV,I
33054,STDNT POSS LASR PNTR,I
53134,AIM LSR PNTR:INT TO HAR,I
53135,AIM LSR PNTR:GUIDE DOG/ET,I
52175,EXH F/ARM PRES VEH OCCUPT,F
52240,BRANDISHING F/ARM REPLICA,M
52171,EXH F/ARM/DLY WPN W/SBI,F
52148,EXH F/ARM/ETC:RSIST AREST,F
32006,FORCIBLE ENTRY,M
32007,RETAKE LAND AFT LEGAL REM,M
53033,PREVENT PUBLIC LAND ENTRY,M
51352,PRVNT ENTRY OF PRVT LAND,I
16001,THRTN CRIME:INT:TERRORIZE,F
16018,THREAT CRIME:INT:TERORIZE,M
16048,THRTN CRIME:INT:TERRORIZE,M
16049,THRTN CRIME:INT:TERRORIZE,F
16050,PUBLSH INFO ACADEMC VIOL,M
56022,VIO CIVIL RGHTS:FRCE/THRT,M
56021,DAMAGE PROP:VIO CIVL RGHT,M
56025,CIV RGT VIOL:VIOLENT INJ,F
29123,VIOL CIV RGTS:PROP DAMAGE,F
56031,VIOLENCE/ETC:REP HLTH SVS,M
56032,FORCE ON PRSN:PLCE WRSHIP,M
56033,NONVIOL OBST:REP HLTH SVS,M
56034,NONVIOL OBST:PLCE WORSHIP,M
56035,DAMAGE PROP:REP HLTH SVS,M
56036,DAMAGE PROP:PLACE WORSHIP,M
27058,EMBEZZLEMENT BY PUB OFCR,F
27059,EMBEZZLEMENT BY PUB OFCR,F
27060,EMBEZZLEMENT BY PUB OFCR,F
27061,EMBEZZLEMENT BY PUB OFCR,F
27062,EMBEZZLEMENT BY PUB OFCR,F
27063,EMBEZZLEMENT BY PUB OFCR,F
27064,EMBEZZLEMENT BY PUB OFCR,F
27012,FAIL TO PAY PUBLIC MONEY,F
48019,HINDER REVENUE COLLECTION,M
48159,TELE PRVDR FL COLLECT FEE,M
48046,FAIL DEL/ETC TAX RECT/ETC,M
66072,POSS BLNK LIC/POLL TX REC,F
31325,REQ APP TO WV RIGHT FEHA,M
31005,UNLAWFUL AUCTIONEER,M
61004,PROCURING INSURANCE,M
48096,REFUSE RECORDS INSPECTION,M
35424,ALTER REQ/AID DYING DRUG,F
35425,COERCE IDV AID DYING DRUG,F
20017,MAL SET/ETC FIRE PROP/ETC,F
20018,ARSON CAUSING GBI,F
20019,ARSON:INHABITED STRUCTURE,F
20020,ARSON:FOREST LAND,F
20036,ARSON:PROPERTY,F
20050,ARSON:WHILE CONFINED,F
20051,ARSON:WHILE CONFINED,M
20061,ARSON:SENTENCE ENHANCEMNT,F
20055,AGGRAVATED ARSON,F
20052,AGGRAVATED ARSON,F
20041,AGGRAVATED ARSON W/PRIOR,F
20053,"AGG ARSON:+$5,000,000 PD",F
20059,"AGG ARSON:+$6,500,000PD",F
20054,AGG ARSON:5+ INHAB STRUCT,F
20056,AGGRAVATED ARSON:PUNISH,F
20057,AGG ARSON:PAROLE ELIGIBTY,F
20022,ARSON:CAUSE GBI,F
20063,UNLAW CAUSE FIRE W/GBI,M
20023,CAUSE FIRE OF INHAB STRUC,F
20048,CAUSE FIRE OF INHAB STRUC,M
20024,CAUSE FIRE OF STRUC/FORES,F
20043,CAUSE FIRE:STRUCTR/FOREST,M
20033,CAUSING FIRE OF PROPERTY,M
20026,POS/ETC ARSON MATERIL/DEV,F
20044,ARSON:POS/ETC MAT/DEVICE,M
20060,POSSESS/MFG/DISP FIREBOMB,M
20038,ARSON:STATE OF INSURRECTN,F
20039,ARSON:STATE EMERGENCY,F
20028,AID IN ARSON,F
89096,REG OF ARSON OFFENDER,X
20047,FAIL REG:ARSON OFFENDER,M
22004,BURGLARY,F
22021,BURGLARY:FIRST DEGREE,F
22022,BURGLARY:SECOND DEGREE,F
22133,BURGLARY:SECOND DEGREE,M
23211,SHOPLIFTING,M
23212,SHOPLIFTING,F
22124,BURGLARY:FIRST DEGREE,F
22125,BURGLARY:SECOND DEGREE,F
22131,BURGLARY:SECOND DEGREE,M
22009,BURGLARY:FIRST DEGREE,F
22010,BURGLARY:SECOND DEGREE,F
22123,BURG/ETC:STATE EMERG/ETC,F
22134,LOOTING DURING ST EMERG,M
22135,LOOT/GRAND THEFT ST EMERG,M
23124,GRAND THEFT:STATE EMERG,F
23125,PETTY THEFT:STATE EMERG,M
22011,BURGLARY W/EXPLOSIVES,F
22012,POSSESS BURGLARY TOOLS,M
22027,SELL LOCK PICK/ETC,M
22025,POSSESS TAMPER DEVICE,M
22014,POSS/USE VEH MASTER KEY,M
22015,POSSESS VEH MASTER KEY,M
22016,MFG/SELL VEH MASTER KEY,M
22128,MAKE VEH/ETC KEY W/O ORDR,M
22136,POSS MOTORCYCL IGNITN DVC,M
22137,POSS HRDWR MOTORCYCL THFT,M
22127,ILLEGAL POSS OF VEH KEY,M
22129,MAKE RES/ETC KEY W/O ORDR,M
23152,POSS CODE GRAB DEV:CRIME,M
23153,USE CODE DEV:VEH ALR:CRIM,M
52006,BUY/SELL SNIPERSCOPE,M
22024,ILLEGAL POSS BUILDING KEY,M
25006,FORGERY,F
25083,FORGERY,M
25064,FORGERY,F
25076,FORGERY:INTENT:DEFRAUD,M
25093,FORGE/ETC HANDWRITING/ETC,F
25115,FORGE/ETC HANDWRITING/ETC,M
25092,ALTER/ETC WILL/ETC,F
25122,ALTER/ETC WILL/ETC,M
25086,FALSE CHECK/RECS/CERT/ETC,F
25087,FALSE CHECKS/REC/CERT/ETC,M
25031,ALT/FORGE/ETC DRIV LIC/ID,F
25097,ALT/FORGE/ETC DRIV LIC/ID,M
25032,POSS DL/ID TO CMMT FORGRY,F
25123,POSS DL/ID COMMIT FORGERY,M
25007,MAKE FALSE ENT IN RECORDS,F
25124,MAKE FLS ENTRIES IN RCRDS,M
26119,ALTER MEDICAL RECORDS,M
25008,FORGE OFFICIAL SEAL,F
25096,FORGE/ETC OFFICIAL SEAL,M
25116,FORGERY:CHECK ETC -$950,M
25010,SEND FORGD TELE MSG:FRAUD,F
25125,SEND FORGED TELE MSG DFRD,M
25090,POS/ETC BAD/ETC CHEKS/ETC,F
25091,POS/ETC BAD/ETC CHECK/ETC,M
25084,POS BLANK CHEC/ETC:DEFRAD,F
25085,POS BLANK CHECK/ETC:FRAUD,M
25088,PAS COMPLET CHECK/ETC:DEF,F
25089,PASS COMPLETED CHECK/ETC,M
25013,MAKE FICTITIOUS CHECK,F
25082,MAKE/ETC FICT CHECK/ETC,M
26016,INSUFICENT FUND:CHECK/ETC,F
26507,INSUFICNT FUND:CHECK/ETC,M
26017,NONSUFFICIENT FUNDS:CHECK,M
26107,NONSUFFICIENT FUNDS:CHECK,F
25014,COUNTERFEITING,F
25015,COUNTERFEITING,F
25016,POSS/RECEIVE CNTRFT COIN,F
25095,MAKE/ETC COUNTRFT PLT/ETC,F
25018,FORGE RR/STEAMSHIP TICKET,F
25127,FORGE RR/STEAMSHIP TICKET,M
25061,COUNTERFT FARE MEDIA TRAN,F
25126,CNTRFEIT FARE/MEDIA TRNSP,M
25060,POSS/CNTRFT PUB TRAN FARE,M
25019,RESTORE RR/ETC TICKET,M
26018,UNAUTHORIZED TICKET SALE,M
26378,MFG/ETC FALSE ID DOCUMENT,F
26601,MFG/ETC FALSE IDENT DOC,M
26602,POSSESS DOC-MAKING DEVICE,M
23008,THEFT,M
23076,THEFT,F
23009,THEFT PERSONAL PROPERTY,F
23079,THEFT OF PERSONAL PROP,M
23087,PETTY THEFT,M
23091,GRAND THEFT,F
23098,THEFT,F
23099,THEFT,M
23160,PETTY THEFT:$50-,I
23085,THFT PRSNL PROP/PTY THFT,M
23092,THFT/PTY THFT W/PRIOR,F
23161,PETTY THEFT/THEFT W/PRIOR,M
23010,THEFT:RENTAL PROP,M
23074,THEFT:RENTAL PROP $400+,F
23218,THEFT:RENTAL PROPERTY,M
23219,THEFT:RENTAL PROPERTY,F
23138,FALS INF/ETC:PAWNBRKR/ETC,M
23139,FALS INF/ETC:PAWNBRKR/ETC,F
26019,DIVERSION OF FUNDS,M
26064,DIVERT FUNDS $1000+,F
27013,OBTAIN MONEY BY FLS VOUCH,F
27066,OBT MONEY BY FLS VOUCHER,M
30058,ACQ ACC CARD:INT:SELL/ETC,M
30067,SELL/ETC LOST/ETC ACC CRD,F
30068,GRAND THEFT ACC CARDS 4+,F
30076,ACQ ACCES CRD INT SELL 4+,M
30066,SEL/ETC ACCESS CARD:FRAUD,M
30069,USE ACC ACOUNT INFO NO OK,F
30070,USE ACC ACOUNT DATA:NO OK,M
30062,FORGE ACCESS CARD:DEFRAUD,F
30075,FORGE ACCESS CARD:DEFRAUD,M
30063,FORGE NAME:ACC CARD/ETC,F
30074,FORGE NAME:ACC CARD/ETC,M
30043,THFT:USE ACCESS CRD DATA,F
30044,THFT:USE ACCESS CARD DATA,M
30045,THEFT:FORGED ACCESS CARD,F
30046,THEFT:FORGED ACCESS CARD,M
30047,THEFT:CRDT CRD HLDR $400+,F
30048,THEFT:MISREP AS CARD HLDR,M
30051,MRCH ACPT BAD A/CRD $400+,F
30052,MRCH ACPT BAD A/CRD -$400,M
23192,FAIL FURNISH GOODS/SRV,F
23193,FAIL FURNISH GOODS/SRV,M
30055,UNLAWFUL ACCESS CARD POSS,M
30071,ALT/ETC ACC ACCOUNT DATA,F
30077,ALTER/ETC CARD ACCNT INFO,M
30072,MAKE/ETC EQUIP:FAKE CARDS,F
30073,MAKE/ETC EQUIP:FAKE CARD,M
26195,PUBLIC ACCESS CARD NBR,M
23012,APPROPR LOST PROP,F
23106,APPROPR LOST PROP,M
23013,GRAND THEFT,F
23132,GRDTHFT:MONEY/LABOR/PROP,F
23157,GRDTHFT:MONEY/LABOR/PROP,M
23135,GRND THEFT:FOWL/FRUIT/ETC,F
23228,GRAND THFT FOWL/FRUIT/ETC,M
23183,G/THFT:FISH/ETC,F
23184,GRTHFT:FISH/ETC,M
23142,GRAND THFT BY SERVANT/ETC,F
23158,GRAND THFT BY SERVANT/ETC,M
23133,GRAND THEFT FROM PERSON,F
23165,GRAND THEFT FROM PERSON,M
23185,GRAND THEFT:AUTO,F
23186,GRAND THEFT:AUTO,M
23187,GRANDTHEFT:HORSE/GOAT/ETC,F
23188,GRANDTHEFT:HORSE/GOAT/ETC,M
23189,GRAND THEFT:FIREARM,F
23077,GRAND THEFT:ANML CARCASS,F
23207,GRAND THFT:ANIMAL CARCASS,M
23078,GRAND THEFT:CARCAS PORTN,F
23208,GRAND THEFT:CARCASS PORTN,M
23209,G/THFT:CARCAS W/O CONSENT,M
23210,G/THFT:CARCAS W/O CONSENT,F
23018,GRAND THEFT:CONVERT PROP,F
23019,PETY THFT:CNVRT REAL PROP,M
23020,GRAND THEFT:GOLD DUST/ETC,F
23021,GRAND THEFT:DOG,F
23229,GRAND THEFT DOG $950+,M
23022,PETTY THEFT:DOG,M
23123,STEAL/ETC ANML F/SALE/ETC,F
23230,STEAL/ETC ANML F/SALE/ETC,M
23190,GRAND THEFT:CARGO EX$950,F
23231,GRAND THEFT CARGO $950+,M
23180,GRAND THEFT:PHAP $400+,F
23181,GRAND THEFT:PHAP $400+,M
23203,GRAND THEFT:COPPER,M
23204,GRAND THEFT:COPPER,F
28046,GRAND THEFT: AG EQUIPMENT,F
23024,PETTY THEFT,M
23025,GRAND THEFT,F
23026,PETTY THEFT,M
23126,PETTY THEFT -$50,M
23166,PETTY THEFT-$50 W/O PRIOR,I
23216,PETTY THEFT:-$950 W/PRIOR,F
23217,PETTY THEFT:-$950,M
23220,ORG RETAIL THEFT INT/SELL,M
23221,ORG RETAIL THEFT INT/SELL,F
23222,ORG RETAIL THEFT:RCV/POSS,M
23223,ORG RETAIL THEFT:RCV/POSS,F
23224,ORG RETAIL THEFT:AGENT,F
23225,ORG RETAIL THEFT:AGENT,M
23226,ORG RTL THEFT ORGANIZES,M
23227,ORG RTL THEFT ORGANIZES,F
23105,PETTY THEFT RETAIL/ETC,M
23232,THEFT 25+ FREE NEWSPAPERS,I
23176,THFT:25+ FREE NWSPR:RECYC,M
23177,THFT:25+ FREE NWSPRS:SELL,M
23178,THFT:25+ FREE NWSPRS:DPRV,M
23179,THFT:25+ FREE NWSPRS:HRM,M
23027,REMOVE PART OF REALTY,F
28024,REC KNWN STOLN PROP,M
28025,REC KNWN STOLN PROP,F
28022,DLR NOT DETERMIN OWNRSHIP,F
28023,DLR/ETC:UNDTRM OWN:STL PR,M
28037,ATT 496 PC:STOLEN PROP,F
28038,ATTEMPT 496PC:STOLEN PROP,M
31054,BUSINESS PRACTICE VIOL,F
31315,DLR BUY METAL/ETC W/O DIL,M
31007,BUSINESS PRACTICE VIOL,M
23028,COPY/ETC RELTY TITLE INFO,F
23148,COPY/ETC RELTY TITLE INFO,M
28035,POSS STOLEN VEH/VES/ETC,F
28036,POSS STOLEN VEH/VES/ETC,M
28042,BUY/REC STOLEN FIREHYDRNT,M
28007,BRNG STOLEN PROP INTO ST,F
23116,THEFT OF UTILITY SERVICES,M
23233,THFT UTIL SRVS DVRT $950+,F
23111,THEFT OF UTILITY SERVICES,M
23234,THFT UTIL SRVS TAMPER MTR,F
23122,THEFT OF UTILITY SERVICES,M
23235,THFT UTIL SRVS TAMPR PROP,F
23113,THEFT OF UTILITY SERVICES,M
23236,THFT UTIL SRVS W/O CNSNT,F
23114,THEFT OF UTILITY SERVICES,M
23237,THFT UTIL SRVS RCV BENEFT,F
23215,ALTER METER UTILITY SVS,M
23117,THEFT UTILITY SERV $400+,F
24068,TAKE BIKE W/OUT PERMISION,M
23191,TAKE VESSEL W/O PERMISION,M
23035,THEFT TRADE SECRETS:STEAL,F
23238,THEFT TRADE SECRETS:STEAL,M
23036,THEFT TRADE SECRETS:FRAUD,F
23239,THFT TRADE SECRETS FRAUD,M
23037,THEFT TRADE SECRET:ACCESS,F
23240,THEFT TRADE SECRET:ACCESS,M
23038,THEFT TRADE SECRETS:COPY,F
23241,THEFT TRADE SECRET: COPY,M
23039,THEFT OF TRD SECRTS:BRIBE,F
23242,THEFT TRADE SECRETS:BRIBE,M
24006,TAKE AIRCRAFT W/O CONSENT,F
24069,TAKE AIRCRAFT W/O CONSENT,M
23167,FAIL TRNSF $ FOREIGN CNTY,F
23168,FAIL TRNSF $ FOREIGN CNTY,M
23169,FAIL SEND $:10 DAYS RCPT,F
23170,FAIL SEND $:10 DAYS RCPT,M
23171,FAIL GIVE INST W/IN 10DAY,F
23172,FAIL GIVE INST W/IN 10DAY,M
23173,FAIL TO REFUND CUSTOMER,F
23174,FAIL TO REFUND CUSTOMER,M
26287,ACC COMP/ALT DATA:DEFRAUD,F
26626,ACC COMP/ALT DATA:DEFRAUD,M
26232,ALT/ETC COMPUTER SYS/ETC,F
26627,ALT/ETC COMPUTER SYS/ETC,M
26647,DSRPT/DENY GOV CMPTR SRVS,F
26648,DSRPT/DENY GOV CMPTR SRVS,M
26649,ALTER CMPTR SRVS PUB SFTY,F
26650,ALTER CMPTR SRVS PUB SFTY,M
26651,DSRPT PUB SFTY CMPTR SRVS,F
26652,DSRPT PUB SFTY CMPTR SRVS,M
26653,PRVD ACC PUB SFTY CMPTR,F
26654,PRVD ACC PUB SFTY CMPTR,M
26655,PRVD ACC PUB SFTY CMPTR,I
26656,CONTAM PUB SFTY CMPTR INJ,F
26657,CONTAM PUB SFTY CMPTR,M
26222,UNAUTH USE COMPUTER DATA,F
26658,UNAUTH COPY/USE CMPTR DAT,M
26350,UNAUTH USE/ETC COMP SVS,M
26659,UNAUTH USE COMPUTER SRVS,F
26263,UNAUTH ALTER COMPUTR DATA,F
26660,UNAUTH ALTER CMPTR DATA,M
26351,DISRUPT/DENY/ETC COMP SVS,F
26661,DISRUPT/DENY CMPTR SRVS,M
26352,PROVID/ASIST ACC:COMP/ETC,F
26556,UNAUTH ASST:ACC COMPUTER,I
26662,PRVD/ASSIST ACCESS CMPTR,M
26253,CMPTR ACC:VCTM LOS $5000+,F
26254,CMPTR ACC:VCTM LOS -$5000,M
26557,UNAUTH ACCES COMPUTER SYS,I
26663,INTRO CONTAM TO COMPUTER,F
26664,INTRO CONTAM TO COMPUTER,M
26665,USE INTRNT DMN DMG CMPTR,M
26666,USE INTRNT DMN DMG CMPTR,I
23093,REMOVAL OF STRUCTURE/FIXT,F
23096,REMOVAL OF STRUCTURE/FIXT,M
26573,FRAUD:POSS/USE SCAN DVICE,M
26574,FRAUD:POSS/USE KEENCODER,M
26203,FRAUD:TELEPHONE SERVICE,F
26204,FRAUD:TELEPHONE SERVICE,M
26118,FRAUD:TELEPHONE SERVICE,F
26124,FRAUD:TELEPHONE SERVICE,M
26316,OBT TELE/TEL:BAD CARD/ETC,F
26505,OBT TEL/TELE:BAD CARD/ETC,M
26275,OBT TEL SVS:CDE/ETC $400+,F
26276,OBT TEL SVS:CDE/ETC -$400,M
26213,FRAUD:TELEPHONE SERVICE,M
26214,FRAUD:TELEPHONE SERVICE,F
26245,OBT TELE/TELE SERV:FRAUD,F
26246,OBT TELE/TELE SERV:FRAUD,M
26149,FRAUD USE OF TELEPHONE,F
26150,FRAUD USE OF TELEPHONE,M
26380,AD/ETC PLN/ETC:NO TEL TOL,F
26667,SELL/ETC INSTRMT AVD TOLL,M
26200,FRAUD USE OF TELEPHON/ETC,F
26201,FRAUD USE:TELEPHONE/ETC,M
26385,ISSUER GAIN:TELCOM FRAUD,F
26386,TELCOM FRAUD:ISSUER GAIN,M
26534,ADV ILLEGAL TELECOM EQUIP,M
26535,NO PAY/ETC:IL TELCM EQUIP,M
26536,NO PAY/ETC ILL TELE EQ:PR,F
26537,SELL/ETC ILL TELCOM EQUIP,M
26538,SEL/ETC ILLEGAL TELCOM EQ,F
26539,POS 10+ IL TELCOM:SEL/ETC,F
26540,MFG IL TELCOM 10+:SEL/ETC,F
27014,EMBEZZLEMENT $400+,F
27023,EMBEZZLEMENT,M
27015,EMBEZL PROP:OFFICER $400+,F
27024,PUB/PRIV OFCR EMBZEL PROP,M
27016,EMBEZZLE PROP UNDER LEASE,F
27025,EMBEZZLE PROP UNDER LEASE,M
27017,DEBTR EMBEZZLE PROP PROCE,F
27026,DEBTR EMBEZL PROP PROCEED,M
27018,CARRIER EMBEZZLE PROPERTY,F
27027,CARRIER EMBEZZLE PROPERTY,M
27019,EMBEZZLE PRIVATE PROPERTY,F
27028,EMBEZZLE PRIVATE PROPERTY,M
27051,REAL PROPERTY VIOLATION,F
27020,EMBEZ BY BAILE/ETC $400+,F
27029,EMBEZZLMENT BY BAILEE/ETC,M
27021,EMBEZ BY EMPLOYEE $400+,F
27030,EMBEZZLEMENT BY EMPLOYEE,M
27022,EMBEZZLEMENT,F
27031,EMBEZZLEMENT,M
21005,EXTORTION,F
21024,EXTRTN FRC/FEAR/OFCL RT,M
21007,EXTORTION BY THREAT:INJ,F
21008,EXTORTION BY THREAT,F
21009,EXTORT BY THREAT:DISGRACE,F
21010,EXTORTION BY THREAT,F
21022,EXTORT BY THREAT:IMMIGRTN,F
21011,EXTORTION,F
21012,EXTORT UNDR COLOR OF OFCL,M
21013,OBTAIN SIGNATURE BY THRT,F
21014,THRTNG LTR W/INT TO EXTOR,F
21023,THRTN RANSOMWARE EXTORT $,F
21015,ATTEMPTED EXTORTION,F
21025,ATTEMPTED EXTORTION,M
29153,ABANDONMENT OF VESSEL,I
29154,ABANDON VESSEL:LIABILITY,I
21016,EXTORT W/FALSE COURT DOC,M
25020,SELL FALSE COURT DOCUMENT,M
44009,FALSE PERSONATION,F
44074,IMPERSN W/O CNSNT:WEBSITE,M
44010,FALSE PERSONATE:SPEC CIRC,F
44048,FALSE PERSONATION:SP CIRC,M
44075,FALSE PERSONATE:SPEC CIRC,F
44076,FALSE PERSONATE:SPEC CIRC,M
44077,PERSONATE TO POST BAIL,F
44078,PERSONATE TO POST BAIL,M
44079,PERSNATE:RECORDED DOCUMNT,F
44080,PERSNATE:RECORDED DOCUMNT,M
44081,PERSNATE:MAKE OTHR LIABLE,F
44082,PERSNATE:MAKE OTHR LIABLE,M
44011,PERSONATE TO POST BAIL,F
44012,PERSNATE:RECORD DOCUMENT,F
44056,PERSONATE:RECORD DOCUMENT,M
44013,PERSNATE:MAKE OTHR LIABLE,F
44055,PERSNATE:MAKE OTHR LIABLE,M
26285,MFG/ETC DECEPTIVE GOVT ID,M
26668,MFG DECEPTIVE GOV ID W/PR,F
26264,POSS DECEPTIVE GOVT ID,M
44116,FLS REP CENSUS TKR INTRFR,M
44117,CENSUS ACTIVTY INT INTRFR,M
26575,OBT/ASSIST OBT DMV DOC,M
26123,POSS FALSE BIRTH DOCUMENT,M
26353,DECV W/FAKE BIRTH/ETC CRT,F
44014,PERSONATE GET MONEY/PROP,F
44043,PERSONATE GET MONEY/PROP,M
44050,GET CREDIT/ETC OTHER'S ID,F
44053,OBT CREDIT/ETC:OTHER'S ID,M
44067,POSS PRSNL ID WIT DEFRAUD,M
44070,USE ID W/INT DEFRD:W/PC,F
44071,USE ID W/INT DEFRD:W/PC,M
44068,POSS ID OF 10+ PRSN:WID,F
44069,POSS ID OF 10+ PRSN:WID,M
44060,ACQUIRE PERS ID WIT DEFRD,M
44062,CONVEY PERS ID WIT DEFRD,F
44063,CONVEY PERS ID WIT DEFRD,M
44064,KNOWINGLY USE PERSON ID,F
44065,KNOWINGLY USE PERSON ID,M
26595,WIT/DEFRD PERS ID:DEPLOYD,M
44066,COMMIT MAIL THEFT,M
26021,FRAUDULNT CONVEY:LAND/ETC,M
26022,CONVEY PROP/ETC W/FRAUD,M
26247,FALSE PRETENSES:OBT $/ETC,F
26248,FALSE PRETENSES:OBT $/ETC,M
26114,FALSE FISCAL ACCOUNT,M
26133,USE FLS NAM/ETC:FSCL ACCT,F
26134,GAIN FROM FLS FISCAL ACCT,M
26135,GAIN F/FLS NAM/FISCL ACCT,F
26205,FALSE FINANCIAL STATEMENT,F
26206,FALSE FINANCIAL STATEMENT,M
26218,FALSE FINANCIAL STATEMENT,M
26219,FALSE FINANCIAL STATEMENT,F
44015,IMPERS VETERAN TO SOLICIT,M
44100,FRDLNT CLM NONVET OBT MNY,M
44101,FRDLNT MIL DECOR OBT MNY,M
44102,FRDLNT CLM VET OBT MONY,I
44103,FRDLNT CLM VET OBT MONY,M
44104,FORGE MIL DOCS OBT MONEY,M
44105,WEAR MIL UNIF OBT MONEY,M
44106,USE FLS MIL ID OBTN MNY,M
44107,FLS MIL UNIF IMPRS CHAR,M
44108,MISREP AS VET FR EMPLYMNT,M
31009,LOTTERY OF REAL PROPERTY,M
26548,FRAUD:SOLICIT CHARITY/ETC,M
26026,CONSTRUCTION BRKR KICKBCK,M
26610,MORTGAGE FRAUD:DLIB MSREP,F
26611,MORTGAGE FRAUD:DLIB MSREP,M
26669,MORTG FRD DELIB USE MSREP,M
26670,MORTG FRD DELIB USE MSREP,F
26671,MORTG FRD RCV CLOSING FND,M
26672,MORTG FRD RCV CLOSING FND,F
26673,MORTG FRD FILE W/RECORDER,M
26674,MORTG FRD FILE W/RECORDER,F
26027,SELL LAND TWICE,F
26028,SPOUSE SELL LAND UNAUTH,F
31010,MOCK AUCTION,F
31316,MOCK AUCTION,M
31011,FALSE STATEMENT BY BROKER,M
31012,PROPERTY BRKR SALE STATMT,M
26126,DEFRAUD INNKEEPER -$400,M
26628,DEFRAUD INNKEEPER -$950,M
26132,DEFRAUD INNKEEPER $400+,F
26629,DEFRAUD INNKEEPER $950+,F
26592,DEFRAUDING:SKI RESORT,I
26277,DEFRAUD INNKEEP FORCE/ETC,M
26286,DEFRAUD INKEEP FORCE/ETC,F
26630,DEFRAUD INNKEEP FORCE/ETC,F
26631,DEFRAUD INNKEEP FORCE ETC,M
26030,DEFRAUD LIVERY STABLE OWN,M
26031,LIVERY STABLE VIOLATION,M
31317,BUY/ETC PROP NO ID $950+,F
31288,BUY/ETC PROP:NO ID -$950,M
31134,BUY/ETC PROP:NO ID,M
31289,BUY/ETC PROP:NO ID $950+,M
31135,BUY PC CHIP:ID REM $400+,F
31290,BUY PC CHIP:ID RMVD $950,F
31014,SELL REBLT BATT W/O LABEL,M
31324,REMOVE/ETC NCIC ID NUMBER,M
23042,REMOVE MORTGAGED PROPERTY,F
23110,REMOVE MORTGAGED PROPERTY,M
26343,FRAUD USE TV/ETC TRNS:INF,F
